start	end	text
0	8520	So, im letzten Kapitel der Vorlesung Software Engineering 1 oder Einführung in der Software
8520	18680	Engineering dreht es sich um das Thema Software Test. Ja, schauen wir uns mal an, welche Probleme
18680	25120	gibt es mit Software Tests. Wir hatten ja schon mal zwei oder eine ganze Reihe von Beispielen am
25120	31120	Anfang der Vorlesung, wo wir darüber gesprochen haben, ja, warum ist es überhaupt sinnvoll,
31120	39080	strukturiert an eine Softwareentwicklung heranzugehen. Da will ich mal zwei Beispiele
39080	47560	herausgreifen. 1979 ist zwar schon ein älteres Beispiel, aber war ziemlich teuer, sage ich mal,
47560	52840	einfach, hat deutliche Konsequenzen gehabt. Das ist ein sehr einprägsames Beispiel.
53320	64960	Der Steuercomputer einer Venus-Runde, der führte folgenden Befehl aus. Du3 i gleich 1.3. Ja,
64960	73720	dass die Du-Schleife ist in Vortran gleich bedeutend, um in einer geringfügig anderen
73720	79720	Syntax wie die Vorschleife in Java oder in anderen Programmiersprachen, also eine einfache
79840	88880	Zellschleife. So, also hier sollte einfach eine Schleife programmiert werden. Ja,
88880	105480	nur hier gab es ein kleines Problem. Die Zuweisung an sich war gültig. Anstelle von diesem Du können
105480	114840	sich so ein Vor vorstellen. Die 3, das kennzeichnet einfach die letzte Zeile des Schleifenkörpers.
114840	126200	Ja, und dann kommt die Schleifenbedingung i gleich 1.3. Das wurde erfolgreich kompiliert. Ja,
126200	132960	und dementsprechend wurde also kein Fehler festgestellt. Das Ganze lief und die Rakete
132960	138160	flog und ja, flog leider an ihrem Ziel vorbei. Sie können sich vorstellen,
138160	146680	paar Millionen Dollar sind da leider in Rauch oder aufgegangen bzw. ins Nirwana gegangen.
146680	155960	Der Punkt ist nämlich hier der, richtig wäre gewesen, hier sollte einfach eine Schleife
155960	164280	dreimal durchgelaufen werden und zwar mit den Werten i gleich 1, i gleich 2, i gleich 3. So,
164280	170360	und diese Schleife, die Schleifenanfang und Schleifenende wie in einer Vorschleife,
170360	182080	das wird hier eben so aufgezählt. Ja, Schleifenanfang und Schleifenende des Schleifenzählers.
182080	188640	Syntaktisch gültig ist das Ganze hier oben in Fortran, aber deswegen, Fortran ist eine
188640	195480	ältere Programmiersprache, wird teilweise noch genutzt. Ja, gültig ist das, weil man in Fortran
195480	208440	auch über Gleitkommawerte iterieren darf. Ja, da dürfte ich also von 1,3 bis 1,7 iterieren und
208440	215000	das hier wäre jetzt also einfach ein Schleifenanfang und als Schleifenanfang ist der
215000	223760	Wert 1,3 angegeben, also syntaktisch richtig. Ja, und wenn man sowas nicht ordentlich testet,
223760	236280	dann passiert halt schon mal größerer Schaden. Ein anderes Beispiel war der 1984 im Computer
236440	244240	meint, eine Überlaufgefahr für einen Staudamm in Frankreich zu erkennen und dementsprechend
244240	250440	öffnete er einfach mal zwei Schleusentore automatisch. Das führte zu einer Überschwemmung
250440	256520	und viele weitere Beispiele haben wir damals besprochen, auch aus der Neuzeit. Sie entsinnen
256520	261880	sich vor ein paar Jahren, da wurde eine Wahlbeteiligung von über 100 Prozent irgendwie
261880	268240	ermittelt, was ja nun auch keinen Sinn macht. Also auch da sind irgendwelche Prüfungen nicht
268240	276840	ordentlich gewesen. Ja, schauen wir uns mal weiter an, womit sollte man sich denn genauer befassen,
276840	283400	wenn es sich ums Testen handelt. Testen ist einfach nur ein kurzer Begriff, da kann man
283400	292360	was ganz eng abgegrenztes mitmeiden, dass man einfach ausprobiert ist, ein Programm laufig
292360	298520	oder aber man kann aber auch übergeordnete Prozesse darunter verstehen. Deswegen gehen
298520	304280	wir hier jetzt mal kurz auf andere Begriffe ein. Und zwar, Test hat ja immer was mit Qualität zu
304280	315440	tun. Und ja, dementsprechend sind in diesem Umfeld das Testen zu Begriffe üblich, die sich
315440	320880	mit Qualität befassen. Und schauen wir zuerst mal auf den Beruf des Qualitätsmanagements.
320880	329560	Darunter versteht man alle organisatorischen Maßnahmen oder Tätigkeiten und Maßnahmen zum
329560	336520	Leiten und Lenken einer Organisation bezüglich Qualität, sind also Tätigkeiten und Maßnahmen,
336520	343520	die da eine Rolle spielen. Dazu gehörten zum Beispiel die Festlegung von Qualitätszielen,
343520	350560	die Qualitätsplanung, die Qualitätssicherung oder auch die Qualitätsverbesserung. Das ist ein
350560	356160	zentraler Bestandteil von Arbeitsprozessen in ganz vielen Branchen. Qualitätsmanagement,
356160	363400	also in der Automobilindustrie ist das das A und O. Sie wissen, dass wir heutzutage sehr
363400	368480	hochwertige Automobile haben, aber diese Hochwertigkeit oder diese Wertigkeit bekommt
368480	375480	man nur durch ein angemessenes Qualitätsmanagement in den Kopf. In der Luftfahrtindustrie ebenso,
375480	383160	da spielt das Qualitätsmanagement nicht nur in den Komfortbereich hinein, sondern schlichtweg
383960	389400	in die Sicherheit. Das sind nur zwei Beispiele von Branchen. Es gibt, eigentlich soll ich da
389400	395600	drei Prümpchen hinter machen, noch ganz viele weitere Beispiele. Ab zur Ganzen vom Qualitätsmanagement
395600	402440	ist die Qualitätssicherung, das ist nämlich eigentlich nur ein Teil des Qualitätsmanagements,
402440	411200	wie sich hier oben auch ausdrückt. Hier oben habe ich die Qualitätssicherung als Teil des
411200	417480	Qualitätsmanagements schon aufgeführt. Hierbei geht es einfach um die Einhaltung der vereinbarten
417480	424160	Arbeitsprozesse zur Vermeidung von Fehlerzuständen, also um die Analyse der Ursachen für Fehler.
424160	432360	Das Qualitätsmanagement dient der Erkennung, also dem Testen, unter Beseitigung von Fehlerzuständen.
432360	440360	Testen ist also eigentlich in diesem Sinne hier nur die Erkennung von Fehlerzuständen.
440360	447040	Ja, und ein Test ist also auch ein Mittel zur Erreichung eines angemessenen Qualitätsniveaus.
447040	457160	Ja, was wir also festhalten können ist, Test ist ungleich von Qualitätssicherung und eigentlich hätte
457160	462600	ich das hier auch noch erweitern können. Qualitätssicherung ist ungleich mit Qualitätsmanagement,
462600	468080	aber ich denke, dass es hier jetzt durch die Folie auch zum Ausdruck kommt. Welche Probleme
468080	475200	gibt es denn bei der Durchführung von Softwaretests? Wir befassen uns hier jetzt in dieser Stunde
475200	483040	natürlich nur mit dem enger eingegrenzten Begriff der Softwaretests. Und zum einen haben wir den
483040	491840	Aufwand. Bei komplexen Produkten gibt es da einen erhöhten Zeit- und Personalaufwand. Aber man sollte
491840	504240	gleich sich bewusst machen, wenn man hochwertige Produkte seriös entwickeln möchte, egal ob das
504240	509680	in der Automobilindustrie ist, Luftfahrt, die haben wir genannt, oder auch so Unternehmen wie Siemens,
509680	518880	also große Unternehmen oder auch Unternehmen wie SAP, die größere Softwareprodukte erstellen,
519000	527160	die leisten sich auch eigene Testabteilungen. Ich kenne das aus meinem eigenen Umfeld heraus auch.
527160	534960	Da bin ich Softwareentwicklungsabteilungen begegnet, die gar nicht so groß waren wie
534960	542440	jetzt so eine Siemens oder IBM oder SAP. Nee, das waren 30-40 Leute, aber die hatten eine kleine
542440	548400	Testabteilung für ihre Produkte schon installiert. Die bestand dann eben nur aus zwei Mitarbeitern.
548400	557160	Aber immerhin, der große Vorteil ist, wenn ich da eine eigene Abteilung rausmache, und das ist
557160	565280	vielleicht die wichtigste Aussage hierbei, dass Entwicklung und Test von verschiedenen Personen
565280	572800	ausgeführt werden sollten. Denn der Entwickler, das was man selbst entwickelt hat, das kennt man
572800	580400	einfach zu gut. Man hat einen gewissen Blickwinkel da drauf und denkt an verschiedene Konstellationen,
580400	585960	wie man das Produkt auch verwenden könnte, gar nicht. Und da ist es dann sehr praktisch,
585960	591720	wenn da jemand aus einem anderen Blickwinkel heraus rangeht und das dann eben nur testet. Der
591720	597200	hatte mit der Entwicklung gar nichts zu tun. Wie das mit welchen tollen Algorithmen gebaut worden
597200	602840	ist, ist untergeordnet. Der schaut nur danach, was ist das Ergebnis, was klappt vielleicht nicht.
602840	610640	Deswegen ist diese Trennung auf personaler Ebene da außerordentlich hilfreich und macht eben auch
610640	617560	schon bei kleinen Organisationseinheiten Sinn. Ja, weiteres Problem ist die destruktive Grundaufgabe
617560	626240	beim Testen. Ein Test dokumentiert bereits gemachte Fehler. Ja, in der eigenen oder eigene Fehler oder
626240	631320	in der eigenen Abteilung. Da kommt es eben auch nochmal drauf an, wenn das der Entwickler ist,
631320	636280	der selbst testet. Natürlich testet er immer seine einzelnen Methoden, seine einzelnen Unterprogramme,
636280	644960	aber so größere Tests, na ja, wer stellt schon gerne fest, was habe ich jetzt in größerem Stil
644960	651600	verkehrt gemacht. Das ist natürlich auch nicht so eine tolle Aufgabe, auch wenn das Umfeld
651600	662160	entsprechend geartet ist. So, das sind so zwei Problembereiche, wo man mal schnell dran denken
662160	667040	könnte, ach, hier kann man auch ein bisschen dran sparen. Na, war das einerseits zeitaufwendig und
667040	671560	damit personalaufwendig und na ja, eine schöne Aufgabe ist das auch nicht. Zumindest, wenn man
671560	680400	die eigenen Dinge testen soll. Aber daran zu sparen, da kann man nur vorwarnen, denn jedes
680400	687520	Produkt wird getestet. Immer. Nämlich spätestens vom Endbenutzer. Ja, und wenn der Endbenutzer das
687520	693360	testet und vorher zu wenig getestet worden ist, findet er vielleicht auch noch eine ganze Reihe
693360	699120	von Fehlern. Und dann ist mal die Frage zu stellen, wie sieht es denn dann mit dem Kundenvertrauen aus?
699120	708040	Also, da zu groß einzusparen, das sollte man sich sehr, sehr gut überlegen. Das macht ganz einfach
708040	715760	gesagt, vielleicht nur einen schlechten einen. Ja, und dann kommt noch eines hinzu, der Korrekturaufwand.
715760	723520	Je später hier etwas entdeckt wird, je größer ist der Korrekturaufwand. Ja, da die Entwicklung
723520	728000	oftmals schon abgeschlossen ist. Ja, stellen Sie sich vor, der Endbenutzer testet was oder man
728000	734800	testet etwas auch in der Testabteilung. Aber wenn die erst sehr spät ins Boot kommt, also ans Test
734800	739320	kommt, dann ist die Entwicklung oftmals schon abgeschlossen. Konzeptionelle Änderungen,
739320	744640	wo also im Ansatz irgendwie etwas schlecht überlegt worden ist oder einfach nicht bedacht
744640	750960	worden ist, konzeptionelle Änderungen sind dann natürlich nur noch sehr schwer durchzuführen. Und
750960	756760	ist das Produkt erst mal im Einsatz, na ja, dann bewirken kleine Änderungen großen Aufwand. Wenn
756760	762520	das Produkt im Einsatz ist, stellen Sie es mal vor, das ist jetzt mal eine Bank oder Versicherung im
762520	767920	Einsatz und da arbeiten mal so 3000 Leute mit einem Produkt. Wenn Sie da Änderungen durchführen
767920	775520	wollen, dann müssen Sie die allein mal distribuieren. Ja, an die entsprechenden Enduser bringen,
775520	782160	die vielleicht sogar schulen auf ein anderes Verhalten des Produkts. Das heißt also Änderungen im
782160	790600	Produkteinsatz. Da sollte man alles für tun, die zu vermeiden, obwohl letztendlich immer vermeiden
790760	798520	wird es nicht möglich sein. Ja, was sind so mögliche Fehlerquellen? Wir wissen ja alle
798520	805800	als Informatiker, keine Software ist fehlerfrei. Welche Fehlerquellen haben wir? Ja, eine fehlende
805800	812520	Kommunikation, das passiert zum Beispiel in der Teamkoordination, kann laufend passieren.
812520	822040	Sich ändern Anforderungen. Manchmal haben die Kunden die Auftraggeber halt, ja, noch zusätzliche
822040	828120	Ideen. Da ist in der Anforderungsermittlung in der Phase vielleicht irgendwas nicht ganz ideal
828120	835080	gelaufen. Zeitdruck kann so eine Fehlerquelle sein. Teammitglieder, weil die sich einfach, ja,
835080	842640	in den eingesetzten Technologien noch nicht sehr auskennen. Da ist ein Berufsanfänger drin,
842640	848480	der vielleicht in seiner Ausbildung Java gemacht hat und soll jetzt ein C++ Programm schreiben oder
848480	855120	sowas, was er nicht so gerne gelernt hat oder nicht gerne gemacht hat. Vielleicht ist der Code
855120	864200	einfach nur schlecht dokumentiert. Ja, oder bei den Entwicklungswerkzeugen der Arbeit ist etwas. Ja,
864320	872040	dann kommen ganz zuletzt die Programmierfehler, an die man schnell zuerst denkt, aber ich denke,
872040	881960	diese Liste hier zeigt, die Fehlerquellen sind viel, viel, ja, vielseitiger als jetzt nur irgendein
881960	890880	Programmierfehler wie bei dieser Buchleife. Ja, dementsprechend gibt es verschiedene Ebenen
890960	895560	der Durchführung der Qualitätssicherung. Wir haben auf der einen Seite die software spezifische Ebene.
895560	902360	Hier werden praktische Anwendungssituationen gegenübergestellt mit schriftlichen
902360	914360	Spezifikationen. Ja, und software spezifisch natürlich auch ist der Source Code. So, und das
914360	919480	sind Dinge, damit befasst man sich dann im Themenumfeld des Software-Engineering.
919480	925960	Organisationsspezifisch kann man natürlich auch Qualität sicherstellen. Da geht es dann aber mehr
925960	931000	um die Fragen der Projektorganisation und vielleicht der Schulung der Mitarbeiter.
931000	939200	Es gibt, wenn man sich so mit Qualitätssicherung im Software-Umfeld befasst, so sieben Grundsätze
939200	945320	des Testens. Die möchte ich Ihnen jetzt auf den nächsten beiden Folien einmal kurz vorstellen.
945320	953240	Ja, fangen wir mit dem ersten an. Testen zeigt die Anwesenheit von Fehlerzuständen.
953240	962080	Dass also die Situation nur ein Fehler eingetreten ist und das bewirkt halt einen Test. Und was man
962080	968680	versuchen möchte, ist die Reduktion der Wahrscheinlichkeit des Auftrittens weiterer
968680	974720	Fehler. Wenn man keinen Fehlerzustand gefunden hat, naja, dann heißt das aber nicht, dass die
974720	982040	Software fehlerfrei ist. Das ist unsere übliche Erfahrung von allen, die mal Software entwickelt
982040	989720	haben. Ja, ebenso in eine ähnliche Richtung geht ein vollständiges Testen ist unmöglich. Denken
989720	996080	Sie mal an so ein Produkt, was wir alle kennen, Sunworld oder vergleichbar von Konkurrenzprodukten.
